scenario_group,valve_context,thickness_mm,pore_index_0_1,degradation_half_life_months,material_risk_index_0_1,morphology_index_0_1,target_gradient_mmHg,predicted_gradient_mmHg,effective_orifice_area_cm2,residual_Mw_12m_percent,integration_12m_index_0_1,region_specificity_hinge_belly_ratio,regurgitation_fraction_percent,failure_risk_0_1,objective_score,feasible,result_type
biology_only,aortic_high_pressure,0.5539373540967614,0.693121917409999,81.1688777131092,0.08611514037078564,0.4639136775520099,32.75,31.1015706203597,2.3519202563079356,91.89153894385409,0.8093380328158729,4.76941162185874,9.197614270984358,0.046095486915901686,0.6026182209789054,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.7184040161650352,0.7308175129296072,52.93920845385546,0.12417738528172334,0.8440212133692434,32.75,33.63641580478042,2.153437475024862,84.60949959524125,0.8721523595047723,2.63067206433185,8.740023895112406,0.06779807788948597,0.6022431449565848,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.5937325097940837,0.5899168541208234,54.17112858694619,0.16210683110250887,0.6973826748095854,32.75,33.24627994092701,2.3022615115127993,85.28128697432912,0.8411950103158156,6.515803492606566,7.157752940941693,0.031241286522998086,0.602135713812294,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.5493363885264934,0.7212703602734986,53.278667277106635,0.027352393733719883,0.8904402214056883,32.75,31.23169660301578,2.266941265617523,86.69069176702172,0.8275187801060954,3.8172002551112656,8.721583052693424,0.0456682138824985,0.6018898412979914,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.6222938224951621,0.9211854920720679,58.87657981841711,0.06696241457343124,0.9018351497173812,32.75,32.23456642055379,2.2975408758197178,85.50443122751528,0.8311328692603484,6.38748444438972,11.448352110531266,0.0617683561226293,0.6007322833555538,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.5941687811345792,0.6436030652452608,43.0824923049164,0.04642028685286414,0.9375112804085393,32.75,33.41988459794282,2.341475734280294,79.45032200391603,0.8394624816401516,7.1108043302946555,11.275587795924283,0.03777685008901423,0.6004461506626272,1,scenario_model_generated_from_literature_calibrated_priors
full_data_informed,aortic_high_pressure,0.5656356574396365,0.6970627645320847,50.87951109066525,0.028562745678342605,0.8064530800488325,32.75,32.47505686785847,2.374862046317261,82.69022581673359,0.8130832232415863,7.712600157656004,9.990036008686273,0.03469167532183885,0.600237349624681,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.5600226513113885,0.9244459455300807,61.11626760403653,0.09247960015101335,0.6974524734993528,32.75,32.65285296409938,2.12638648530029,88.7835874227083,0.8368061015923142,5.911290248169458,8.044830834206273,0.06147191226649892,0.5999985117151138,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.6936738049642227,0.756815271576153,70.16152974903541,0.1686623501373797,0.7849797056991494,32.75,33.21853492583759,2.050087846405753,92.98106379359221,0.8400865114706142,3.648779548543743,13.938132689774351,0.05965460975912459,0.5979521472000525,1,scenario_model_generated_from_literature_calibrated_priors
biology_only,aortic_high_pressure,0.6925852636002895,0.5761755664216807,59.53265759062548,0.031968123954344514,0.9731920614359815,32.75,33.68131150929837,1.9729125405522054,86.16191590859987,0.8476687346416998,3.8729738088646224,10.693771843049525,0.03675696369100267,0.5979069409876561,1,scenario_model_generated_from_literature_calibrated_priors
